Fecha,Consulta de búsqueda,URL visible,URL de destino,ID de cliente de Google Ads,ID de campaña de Google Ads,ID de grupo de anuncios de Google Ads,ID de criterios de Google Ads,ID de creatividad de Google Ads,Recuento de palabras de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20180619,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180620,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180621,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180622,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180623,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180626,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180628,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180704,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180709,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180710,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180711,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180718,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180719,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180726,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180730,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180731,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180802,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180807,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180810,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180823,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180827,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180829,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180910,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180911,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180919,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180920,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181008,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181019,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181024,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181101,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181114,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181115,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181123,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181126,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181205,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1471226289,58117890958,164595296,309840778920,2,0,0,0,0,0,null,0,0,0,0,null
20181207,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181215,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181217,cermica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1470922941,59879164994,171200482,293502322729,2,0,0,0,0,0,null,0,0,0,0,null
20181218,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181223,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181229,ceramica italia cali sur,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1470942138,57276273096,478558852463,293470647780,4,0,0,0,0,0,null,0,0,0,0,null
20181230,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20181231,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190105,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190108,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190110,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190114,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190121,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190122,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190125,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190128,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190129,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190130,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190131,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190205,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190207,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190208,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190209,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190211,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190213,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190213,venta de ceramica,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1469538622,56420119905,171200482,293471266062,3,0,0,0,0,0,null,0,0,0,0,null
20190214,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190215,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190219,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190220,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190225,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190225,cotizar pisos ceramica,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1470922941,59879164994,171200482,309840778947,3,0,0,0,0,0,null,0,0,0,0,null
20190226,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190228,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190301,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190302,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190308,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190309,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190311,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190312,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190318,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190321,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190322,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190324,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190326,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190404,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190409,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190411,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190412,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190415,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190422,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190423,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190517,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190605,baldosa para piso ceramica italia vulcano 51 x51,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1471178049,56718232733,332798492142,293503486513,8,0,0,0,0,0,null,0,0,0,0,null
20190609,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1470922941,59879164994,164595296,309840778947,2,0,0,0,0,0,null,0,0,0,0,null
20190609,cerámica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1470922941,59879164994,164595296,344837790712,2,0,0,0,0,0,null,0,0,0,0,null
20190614,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190617,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190618,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1471226289,58117890958,164595296,320247068298,2,0,0,0,0,0,null,0,0,0,0,null
20190703,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190717,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190727,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190811,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190812,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190904,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190922,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191007,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191021,ceramica italia bogota calle 80,ceramicaitalia.com,https://www.ceramicaitalia.com/italcombos,7278701116,6681113493,82034616187,593574825590,387471245894,5,0,0,0,0,0,null,0,0,0,0,null
20191022,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191120,corona comprar,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,8112205123,83833067997,120156900,397124625802,2,0,0,0,0,0,null,0,0,0,0,null
20191121,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191128,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191129,ceramicas italia cucuta,ceramicaitalia.com,https://www.ceramicaitalia.com/blackf/index.php?render_type=sellerview&id_seller=15&fc=module&module=kbmarketplace&controller=sellerfront,7278701116,8281992195,86769356393,164595296,400138287547,3,0,0,0,0,0,null,0,0,0,0,null
20191129,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191201,pagina ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/blackf/index.php?render_type=sellerview&id_seller=11&fc=module&module=kbmarketplace&controller=sellerfront,7278701116,8285733266,84030596143,164595296,400190760392,3,0,0,0,0,0,null,0,0,0,0,null
20191201,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com/blackf/index.php?render_type=sellerview&id_seller=15&fc=module&module=kbmarketplace&controller=sellerfront,7278701116,8281992195,86769356393,164595296,400138287547,2,0,0,0,0,0,null,0,0,0,0,null
20191202,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191212,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191213,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191214,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191214,ceramica italia,ceramicaitalia.com,http://www.ceramicaitalia.com,7278701116,8554347762,88030711593,332798492142,405879410853,2,0,0,0,0,0,null,0,0,0,0,null
20191215,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191218,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20191226,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200120,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200127,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200128,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200130,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200205,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200212,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200308,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200401,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200418,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200419,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200425,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200428,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200502,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200505,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200507,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200508,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200509,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200510,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200511,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200513,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200516,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200519,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200521,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200522,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200523,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200524,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200525,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200527,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200529,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200602,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200605,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200610,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200618,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200619,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200619,alfa pisos,ceramicaitalia.com,https://www.ceramicaitalia.com/diaespecial,7278701116,10338074538,101842646046,21251710,443244131465,2,0,0,0,0,0,null,0,0,0,0,null
20200623,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200624,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200627,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200630,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200701,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200702,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200703,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200704,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200705,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200708,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200709,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200713,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200715,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200717,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200720,alfa pisos,ceramicaitalia.com,https://www.ceramicaitalia.com/diaespecial,7278701116,10338074538,101842646046,21251710,443244131465,2,0,0,0,0,0,null,0,0,0,0,null
20200721,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200723,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200727,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200730,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200731,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200802,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200805,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200819,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200819,bidet,(not set),(not set),7278701116,10704396406,106650519518,296303633664,453146398733,1,0,0,0,0,0,null,0,0,0,0,null
20200824,pisende,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,10706191806,105065412185,308476966462,453140177693,1,0,0,0,0,0,null,0,0,0,0,null
20200824,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200827,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200827,ceramica italia bogota,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,10707148490,105334535693,593574825590,453058188867,3,0,0,0,0,0,null,0,0,0,0,null
20200828,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,10707148490,105334535693,164595296,453058188867,2,0,0,0,0,0,null,0,0,0,0,null
20200830,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20200830,decorceramica,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,10707164393,111024616052,300810373353,453093861757,1,0,0,0,0,0,null,0,0,0,0,null
20200831,ceramica italia,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,10707148490,105334535693,164595296,453058188867,2,0,0,0,0,0,null,0,0,0,0,null